scientificName,vernacularName,kingdom,phylum,class,order,family,genus,eventDate,year,month,day,decimalLatitude,decimalLongitude,dataResourceName,dataGeneralizations,habitat,occurrenceRemarks,basisOfRecord,individualCount,class_display,class_description,at_risk_status,habitat_type
Acanthiza (Acanthiza) pusilla,Brown Thornbill,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,2025-12-16 13:31:00,2025.0,12.0,16.0,-36.551073,149.399374,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Synthemis eustalacta,Swamp Tigertail,Animalia,Arthropoda,Insecta,Odonata,Synthemistidae,Synthemis,2025-12-23 15:56:00,2025.0,12.0,23.0,-36.56007,149.395385,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Malurus (Malurus) cyaneus,Superb Fairy-wren,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,2025-12-20 13:59:00,2025.0,12.0,20.0,-36.55075,149.400345,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Eusynthemis guttata,Southern Tigertail,Animalia,Arthropoda,Insecta,Odonata,Synthemistidae,Eusynthemis,2025-12-23 16:38:00,2025.0,12.0,23.0,-36.552402,149.39804,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Crinia signifera,Common Eastern Froglet,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,2021-11-06 00:00:00,2021.0,11.0,6.0,-36.5486,149.417,FrogID,,,,OCCURRENCE,,Amphibia,frogs,,
Crinia signifera,Common Eastern Froglet,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,2021-11-06 00:00:00,2021.0,11.0,6.0,-36.5486,149.417,FrogID,,,,OCCURRENCE,,Amphibia,frogs,,
Melitulias leucographa,Geometer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melitulias,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.42,INSDC Sequences,,,"Melitulias leucographa voucher 11ANIC-07081 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Philobota crypsichola,,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Philobota,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.41,INSDC Sequences,,,"Philobota crypsichola voucher CCDB-15798-C09 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-06 00:00:00,1970.0,1.0,6.0,-36.55,149.42,INSDC Sequences,,,"Scieropepla serina voucher CCDB-15739-G03 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1969-12-24 00:00:00,1969.0,12.0,24.0,-36.55,149.42,INSDC Sequences,,,"Scieropepla serina voucher CCDB-15739-F08 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
TORTRICIDAE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.42,INSDC Sequences,,,"Tortrix sp. ANIC7 voucher 11ANIC-10313 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-19 00:00:00,1970.0,1.0,19.0,-36.55,149.42,INSDC Sequences,,,"Scieropepla serina voucher CCDB-15751-F06 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
TORTRICIDAE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.42,INSDC Sequences,,,"Tortrix sp. ANIC7 voucher 11ANIC-10315 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Telanepsia stictocrossa,,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Telanepsia,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.41,INSDC Sequences,,,"Telanepsia stictocrossa voucher CCDB-15783-D06 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Telocharacta hemicroca,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Telocharacta,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.41,INSDC Sequences,,,"Telocharacta hemicroca voucher CCDB-15792-H01 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-01 00:00:00,1970.0,1.0,1.0,-36.55,149.42,INSDC Sequences,,,"Scieropepla serina voucher CCDB-15739-G01 cytochrome oxidase subunit 1 (COI) gene, partial cds mitochondrial.",PRESERVED_SPECIMEN,,Insecta,insects,,
Melitulias,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melitulias,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.42,International Barcode of Life project (iBOL),,,,MATERIAL_SAMPLE,,Insecta,insects,,
Scieropepla,,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-19 00:00:00,1970.0,1.0,19.0,-36.55,149.42,International Barcode of Life project (iBOL),,,L20 Larva in dead leaves on fallen branch of Eucalyptus sp.,MATERIAL_SAMPLE,,Insecta,insects,,
Scieropepla,,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1969-12-24 00:00:00,1969.0,12.0,24.0,-36.55,149.42,International Barcode of Life project (iBOL),,,L19 Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,MATERIAL_SAMPLE,,Insecta,insects,,
Telocharacta,,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Telocharacta,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.41,International Barcode of Life project (iBOL),,,,MATERIAL_SAMPLE,,Insecta,insects,,
TORTRICIDAE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.42,International Barcode of Life project (iBOL),,,,MATERIAL_SAMPLE,,Insecta,insects,,
Scieropepla,,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-06 00:00:00,1970.0,1.0,6.0,-36.55,149.42,International Barcode of Life project (iBOL),,,L19 Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,MATERIAL_SAMPLE,,Insecta,insects,,
Telanepsia,,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Telanepsia,1969-11-19 00:00:00,1969.0,11.0,19.0,-36.55,149.41,International Barcode of Life project (iBOL),,,,MATERIAL_SAMPLE,,Insecta,insects,,
